email,answer,cluster
tanja+182_jiPa_5IoL@bss.com.mk,To promote products and services Travel Agent Advisory role,1
tanja+182_jiPa_ARQM@bss.com.mk,To promote products and services Travel Agent Advisory role,1
tanja+182_jiPa_H11i@bss.com.mk,To promote products and services Travel Agent Advisory role,1
tanja+182_jiPa_MVxX@bss.com.mk,To promote products and services Travel Agent Advisory role,1
tanja+182_jiPa_Nfsx@bss.com.mk,To promote products and services Travel Agent Advisory role,1
tanja+182_jiPa_YaEw@bss.com.mk,To promote products and services Travel Agent Advisory role,1
tanja+182_jiPa_jNR0@bss.com.mk,To promote products and services Travel Agent Advisory role,1
tanja+202_99oJ@bss.mk,To source products and services Formation of tourist products Accommodation Provider Joint responsibility 1 - 5 million rubles,0
tanja+202_99oJ_VzXA@bss.mk,To source products and services Formation of tourist products Accommodation Provider Joint responsibility 1 - 5 million rubles,0
tanja+242_B3fl@bss.com.mk,To source products and services Sales Travel Agent Joint responsibility 1 - 5 million rubles,0
tatjana+182_N1PC@bss.mk,To promote products and services Travel Agent Advisory role,1
tatjana+182_N1PC_oo6l@bss.mk,To promote products and services Travel Agent Advisory role,1
